Unnamed: 0,1a,2a,3a,4a,5a,1b,2b,3b,4b,5b
1,-0.170415178716482,-0.12220833684016305,0.12520538260954905,0.1979754250207477,-0.007176758701575485,-0.06355963414732634,-0.2062894622541745,-0.3181850984706317,-0.02674483933801175,-0.14479006608662198
2,0.2922496000540059,-0.14475121392839027,-0.08627843251098732,0.04430307325919503,0.02066739756130487,0.024897246197887316,-0.2659479634683307,-0.2995805841675937,-0.027697642122956743,-0.09391705198629208
3,-0.1440305141808364,0.1461576775485945,0.27679652628132845,0.16504722756462378,0.12678571665837526,-0.05411701798493307,-0.04441155455383596,-0.08333626159706242,0.03699419856706954,0.008369845766377537
4,-0.09809329664816172,0.11755040934935401,0.15145088791788713,-0.35311218104817466,0.1146098222521158,-0.13602410205205612,0.3576472239380917,-0.057598788236568964,-0.05926876017843412,-0.004452832786774566
5,-0.07196957227166359,0.20555752573988012,-0.10339967676148058,-0.20899749852735255,-0.06277531983145906,0.0664695681834226,0.1535443389967615,-0.11973397671102315,-0.25505478565494333,0.06317151743404947
6,0.08343403821865222,-0.16141883448027644,0.0918560096262851,-0.19783978430809437,-0.1654034651689889,0.006808957548810057,0.14862197247878212,-0.30727597912455684,-0.20991066703681086,0.027382649535692853
7,0.14049743352654248,0.13659609416628996,0.039206263959399426,0.06887750034851733,-0.11866429483549287,0.15205662464488054,0.062195826752110196,-0.2901802804433872,-0.15033767678363072,-0.04405655988050706
8,0.16677454726462856,0.16313654751766085,0.1346916681174947,-0.19471886961530327,-0.06768303812822132,-0.11246523173812398,-0.2142314211370855,-0.26020025142485687,-0.027765637202733118,-0.08003611997005865
9,-0.020030406652187215,-0.19977567221939602,0.12471460917424786,0.06341815143332338,0.022238001996365615,-0.10907832392459041,-0.19718436019946087,-0.06212249395221766,-0.04900957641254181,0.19948631729948618
10,0.008857117846716767,-0.10575089677414691,0.08027505851437791,-0.11850668769374831,0.014858873436387815,-0.020191956478911293,0.10558654025923124,-0.03413431384145084,-0.19101585279810113,-0.07888178911528232
11,0.05948750286347178,-0.1391599188771823,0.20134488816886603,-0.17106343061274537,-0.0525289059028549,-0.08380456464725475,0.35191538072137096,-0.13510034316029151,-0.045022727170484486,0.10543470007729117
12,-0.005640470089477048,0.24437699369889546,0.09366981460457029,-0.0858564073765418,-0.09473438417815458,0.007688628834357343,0.19329307478171795,-0.4869659068297606,0.06731823672042622,0.29384724624352615
13,-0.06668391827759597,0.18770271151401835,0.26468922562283753,0.019204521437462107,-0.03718835455300003,-0.11408237209465218,0.19962178477915077,-0.31024507410584035,-0.0007059754620166211,0.04047528257139643
14,0.036505593756859724,0.1296740581853349,0.047213814508675386,-0.17673594756573083,-0.07533239400734629,-0.09189283154930972,0.14256027112368325,-0.3499543980737748,0.12580628245030182,-0.06286130510998601
15,0.11334853557929084,0.2644667455606783,0.13215204436008132,-0.14611137779057023,-0.05060152220129851,-0.08364448577940944,0.08096456203695837,-0.43565301905142223,0.18021890983147265,-0.0669503731696439
